2020-04-01,County,Cases,Deaths
2020-04-01,Allegan,5,0
2020-04-01,Antrim,4,0
2020-04-01,Arenac,1,0
2020-04-01,Barry,2,0
2020-04-01,Bay,10,0
2020-04-01,Berrien,38,1
2020-04-01,Branch,2,0
2020-04-01,Calhoun,23,0
2020-04-01,Cass,6,1
2020-04-01,Charlevoix,4,0
2020-04-01,Cheboygan,2,0
2020-04-01,Chippewa,1,0
2020-04-01,Clare,1,0
2020-04-01,Clinton,33,0
2020-04-01,Crawford,1,0
2020-04-01,Delta,3,0
2020-04-01,Detroit City,2472,83
2020-04-01,Eaton,27,0
2020-04-01,Emmet,7,1
2020-04-01,Genesee,249,8
2020-04-01,Gladwin,2,0
2020-04-01,Gogebic,2,1
2020-04-01,Grand Traverse,8,0
2020-04-01,Gratiot,3,0
2020-04-01,Hillsdale,19,1
2020-04-01,Houghton,1,0
2020-04-01,Huron,3,0
2020-04-01,Ingham,121,1
2020-04-01,Ionia,6,0
2020-04-01,Iosco,1,0
2020-04-01,Isabella,7,1
2020-04-01,Jackson,56,2
2020-04-01,Kalamazoo,30,1
2020-04-01,Kalkaska,7,1
2020-04-01,Kent,119,2
2020-04-01,Lapeer,8,0
2020-04-01,Leelanau,1,0
2020-04-01,Lenawee,22,0
2020-04-01,Livingston,101,2
2020-04-01,Mackinac,1,0
2020-04-01,Macomb,1088,51
2020-04-01,Manistee,1,0
2020-04-01,Marquette,5,0
2020-04-01,Mecosta,3,1
2020-04-01,Midland,12,0
2020-04-01,Missaukee,1,1
2020-04-01,Monroe,58,0
2020-04-01,Montcalm,10,0
2020-04-01,Muskegon,18,2
2020-04-01,Newaygo,1,0
2020-04-01,Oakland,1910,99
2020-04-01,Oceana,2,0
2020-04-01,Ogemaw,1,0
2020-04-01,Osceola,2,0
2020-04-01,Oscoda,2,0
2020-04-01,Otsego,19,0
2020-04-01,Ottawa,31,0
2020-04-01,Roscommon,1,0
2020-04-01,Saginaw,71,0
2020-04-01,Sanilac,7,1
2020-04-01,Shiawassee,11,0
2020-04-01,St. Clair,41,0
2020-04-01,St. Joseph,5,0
2020-04-01,Tuscola,11,2
2020-04-01,Van Buren,10,0
2020-04-01,Washtenaw,401,8
2020-04-01,Wayne,1998,63
2020-04-01,Wexford,2,0
2020-04-01,Other*,142,0
2020-04-01,Out of State,42,1
2020-04-01,Unknown,19,2
2020-04-01,Total,9334,337
